"","date","price"
"775",2020-03-27,1278.2474
"776",2020-03-28,1278.2059
"777",2020-03-29,1278.1643
"778",2020-03-30,1335.1863
"779",2020-03-31,1328.8741
"780",2020-04-01,1288.249
"781",2020-04-02,1311.1328
"782",2020-04-03,1294.1558
"783",2020-04-04,1294.1137
"784",2020-04-05,1294.0716
"785",2020-04-06,1364.7724
"786",2020-04-07,1346.8782
"787",2020-04-08,1399.2207
"788",2020-04-09,1396.1896
"789",2020-04-10,1396.1442
"790",2020-04-11,1396.0988
"791",2020-04-12,1396.0534
"792",2020-04-13,1397.7523
"793",2020-04-14,1450.3785
"794",2020-04-15,1437.2878
"795",2020-04-16,1438.1984
"796",2020-04-17,1462.9778
"797",2020-04-18,1462.9302
"798",2020-04-19,1462.8826
"799",2020-04-20,1452.7836
"800",2020-04-21,1415.0023
"801",2020-04-22,1441.6348
"802",2020-04-23,1443.3811
"803",2020-04-24,1466.3719
"804",2020-04-25,1466.3242
"805",2020-04-26,1466.2766
"806",2020-04-27,1481.0237
"807",2020-04-28,1459.7343
"808",2020-04-29,1481.6273
"809",2020-04-30,1470.1547
"810",2020-05-01,1470.1069
"811",2020-05-02,1470.0591
"812",2020-05-03,1470.0113
"813",2020-05-04,1441.0952
"814",2020-05-05,1445.5566
"815",2020-05-06,1454.4105
"816",2020-05-07,1468.1485
"817",2020-05-08,1476.7476
"818",2020-05-09,1476.6996
"819",2020-05-10,1476.6516
"820",2020-05-11,1478.0687
"821",2020-05-12,1442.154
"822",2020-05-13,1416.1062
"823",2020-05-14,1434.7393
"824",2020-05-15,1442.9104
"825",2020-05-16,1442.8635
"826",2020-05-17,1442.8166
"827",2020-05-18,1476.8332
"828",2020-05-19,1463.5709
"829",2020-05-20,1467.3163
"830",2020-05-21,1467.2686
"831",2020-05-22,1457.4751
"832",2020-05-23,1457.4277
"833",2020-05-24,1457.3803
"834",2020-05-25,1453.9327
"835",2020-05-26,1463.2949
"836",2020-05-27,1503.4529
"837",2020-05-28,1494.2511
"838",2020-05-29,1492.412
"839",2020-05-30,1492.3634
"840",2020-05-31,1492.3149
"841",2020-06-01,1483.4867
"842",2020-06-02,1471.9312
"843",2020-06-03,1462.5398
"844",2020-06-04,1467.0718
"845",2020-06-05,1482.8438
"846",2020-06-06,1482.7956
"847",2020-06-07,1482.7474
"848",2020-06-08,1505.8616
"849",2020-06-09,1505.4019
"850",2020-06-10,1500.2027
"851",2020-06-11,1447.3168
"852",2020-06-12,1475.9067
"853",2020-06-13,1475.8587
"854",2020-06-14,1475.8107
"855",2020-06-15,1500.1994
"856",2020-06-16,1494.6293
"857",2020-06-17,1527.9723
"858",2020-06-18,1555.0636
"859",2020-06-19,1558.4222
"860",2020-06-20,1558.3715
"861",2020-06-21,1558.3208
